grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-87.632,41.889,12,9820,None,None,12,5330,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,3,520,51,0.09807692307692308,51,51,1.0,79.41584941176471,19.510895913102686,28.289599999999997,54.97376,68.1368,81.29279999999999,91.53863999999999,106.5224,112.85871999999999,
-87.632,41.889,213,66686,967,174270,213,53139,213,52941,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,520,88,0.16923076923076924,51,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.889,213,66686,None,None,213,52740,213,52941,213,53139,None,None,None,None,None,None,LTE,0,0,0,0,3,520,34,0.06538461538461539,51,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.889,261,66686,722,174270,261,52941,261,53139,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,520,43,0.08269230769230769,51,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.889,261,66686,967,174270,261,52941,261,53139,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,520,144,0.27692307692307694,51,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.889,261,66686,967,174270,261,53139,261,52941,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,3,520,160,0.3076923076923077,51,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,12,675,None,None,12,1025,12,5110,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,1128,5,0.004432624113475178,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,12,9820,None,None,12,5330,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,1128,580,0.5141843971631206,628,580,0.9235668789808917,87.42655475862068,17.278260329605747,14.131199999999998,65.913936,78.27024,89.07664,98.84039999999999,106.71331200000002,143.34832,
-87.632,41.8895,103,5110,None,None,103,675,103,66686,103,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,1128,43,0.038120567375886524,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,675,722,174270,213,52941,213,53139,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1128,32,0.028368794326241134,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,675,722,174270,213,53139,213,52941,213,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1128,2,0.0017730496453900709,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,675,967,174270,213,53339,213,53141,213,52940,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1128,47,0.041666666666666664,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,675,None,None,213,52740,213,52941,213,53139,None,None,None,None,None,None,LTE,0,0,0,0,2,1128,14,0.012411347517730497,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,66686,722,174270,213,53139,213,52941,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1128,18,0.015957446808510637,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,66686,967,174270,213,53139,213,52941,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1128,339,0.300531914893617,628,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8895,213,66686,None,None,213,52740,213,52941,213,53139,None,None,None,None,None,None,LTE,0,0,0,0,2,1128,48,0.0425531914893617,628,48,0.07643312101910828,7.857196666666667,3.716787652008414,1.8128,3.537952,4.84468,7.24104,10.324679999999999,13.128368000000002,17.140159999999998,
-87.632,41.89,12,675,967,174270,12,1025,12,9820,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,67,0.2,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,12,5110,None,None,12,675,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,335,1,0.0029850746268656717,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,12,9820,967,174270,12,1025,12,675,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,3,0.008955223880597015,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,12,9820,None,None,12,5330,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,335,95,0.2835820895522388,77,77,1.0,128.96821194805193,32.536700876338784,68.04576,89.691456,101.51792,124.27296,154.78367999999998,173.830464,193.67072,
-87.632,41.89,103,5110,None,None,103,675,103,66686,103,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,335,87,0.25970149253731345,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,103,9820,722,174270,103,66686,103,67086,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,21,0.0626865671641791,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,103,9820,967,174270,103,66686,103,67086,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,18,0.05373134328358209,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,103,9820,None,None,103,5330,103,66686,103,67086,None,None,None,None,None,None,LTE,0,0,0,0,2,335,2,0.005970149253731343,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,213,675,722,174270,213,53139,213,52941,213,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,5,0.014925373134328358,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,213,675,967,174270,213,53339,213,53141,213,52940,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,335,13,0.03880597014925373,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.89,213,675,None,None,213,52740,213,52941,213,53139,None,None,None,None,None,None,LTE,0,0,0,0,2,335,23,0.06865671641791045,77,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,675,967,174270,12,1025,12,66686,12,67086,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,7,0.000896172065036487,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,675,967,174270,12,1025,12,9820,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,696,0.0891051081807707,2342,10,0.004269854824935952,1.0222,0.18803999999999993,0.45808,1.0222,1.0848799999999998,1.0848799999999998,1.0848799999999998,1.0848799999999998,1.0848799999999998,
-87.632,41.8915,12,675,967,174270,12,9820,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,149,0.019075662527205224,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,675,None,None,12,5330,12,9820,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,316,0.04045576750736141,2342,316,0.1349274124679761,6.823670379746836,3.216236669840064,0.23135999999999998,2.83216,4.52656,6.634719999999999,8.909239999999999,10.961279999999999,19.12448,
-87.632,41.8915,12,675,None,None,12,1025,12,5110,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,14,0.001792344130072974,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,675,None,None,12,1025,12,5330,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,21,0.002688516195109461,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,675,None,None,12,5330,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,233,0.029829727307643068,2342,18,0.007685738684884714,13.316088888888888,3.262582895084624,7.4444799999999995,8.956976000000001,10.48904,14.44744,16.16024,16.993439999999996,17.80704,
-87.632,41.8915,12,675,None,None,12,5330,12,9820,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,21,0.002688516195109461,2342,8,0.0034158838599487617,40.07466,20.32614603571469,18.8768,23.062911999999997,25.99,32.69488,48.822919999999996,61.62929599999999,85.83999999999999,
-87.632,41.8915,12,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,14,0.001792344130072974,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,1025,None,None,12,675,12,5330,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,406,0.051977979772116246,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,1025,None,None,12,675,12,5330,12,66686,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,114,0.014594802202022788,2342,114,0.04867634500426986,4.1352940350877185,2.4183257625609857,0.5729599999999999,1.6600960000000002,2.38168,3.3472799999999996,5.03116,7.808416,11.324639999999999,
-87.632,41.8915,12,5110,None,None,12,675,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,1416,0.18128280629880938,2342,952,0.40649017933390263,24.44616100840336,30.023947627917142,1.2507199999999998,6.503952000000001,9.86432,13.73904,17.5746,86.46619199999998,150.36704,
-87.632,41.8915,12,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,75,0.009601843553962361,2342,75,0.03202391118701964,22.183624533333333,2.9530274339352345,12.461120000000001,17.905312,20.535839999999997,22.19488,24.424159999999997,25.396192,28.92496,
-87.632,41.8915,12,66686,967,174270,12,1025,12,67086,12,675,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,191,0.024452694917424144,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,67086,967,174270,12,66686,12,675,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,77,0.009857892715401356,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,67086,967,174270,12,66686,12,9820,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,86,0.01101011394187684,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,67086,967,174270,12,9820,12,66686,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,34,0.004352835744462937,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,12,67086,None,None,12,675,12,5330,12,66686,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,110,0.014082703879144795,2342,110,0.04696840307429547,9.537610181818183,4.497946061976405,0.45184,3.0548159999999998,7.12672,9.91672,12.397120000000001,14.201360000000001,26.49824,
-87.632,41.8915,12,67086,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,101,0.012930482652669313,2342,101,0.04312553373185312,34.364538613861384,14.596190994912691,9.30176,14.11712,22.441119999999998,33.4208,44.9648,54.99488,65.82064,
-87.632,41.8915,77,675,None,None,77,52740,77,52941,77,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,16,0.0020483932915119703,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,302,174270,279,52740,279,52941,279,53139,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,79,0.010113941876840353,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,302,174270,279,53139,279,52941,279,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,141,0.01805146588144924,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,967,174270,279,52740,279,52941,279,53139,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,75,0.009601843553962361,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,967,174270,279,52740,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,184,0.023556522852387657,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,967,174270,279,52941,279,52740,279,53139,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,27,0.00345666367942645,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,967,174270,279,52941,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,9,0.0011522212264754833,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,967,174270,279,53139,279,52941,279,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,118,0.01510690052490078,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,279,675,None,None,279,52740,279,52941,279,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,53,0.0067853027781334015,2342,53,0.022630230572160546,7.063631698113207,1.7596285490932193,2.3585599999999998,5.077216,5.9896,6.959999999999999,8.293759999999999,9.188448,11.06064,
-87.632,41.8915,279,675,None,None,279,52740,279,52941,279,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,114,0.014594802202022788,2342,91,0.038855678906917164,36.996915164835166,13.148864980560974,3.68688,19.885279999999998,28.15056,37.55088,44.51504,53.5792,72.14304,
-87.632,41.8915,279,675,None,None,279,53140,279,53341,279,53539,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,2,0.0002560491614389963,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,332,5110,None,None,332,675,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,8,0.0010241966457559851,2342,8,0.0034158838599487617,27.220319999999997,6.454274815345252,14.886399999999998,21.214176000000002,24.12,26.57112,31.403999999999996,35.543279999999996,36.260639999999995,
-87.632,41.8915,350,66686,967,174270,350,1025,350,67086,350,675,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,20,0.0025604916143899628,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,350,66686,None,None,350,675,350,5330,350,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,14,0.001792344130072974,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,967,174270,365,52740,365,52941,365,53139,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,73,0.009345794392523364,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,967,174270,365,53139,365,52941,365,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,10,0.0012802458071949814,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,967,174270,365,53341,365,53140,365,53539,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,322,0.0412239149916784,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,967,174270,365,53539,365,53341,365,53140,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,184,0.023556522852387657,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,None,None,365,52740,365,52941,365,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,5,0.0006401229035974907,2342,5,0.002134927412467976,18.378111999999998,5.775229248874542,11.16,12.174208,13.69552,17.057119999999998,23.649759999999997,25.2568,26.32816,
-87.632,41.8915,365,675,None,None,365,52740,365,52941,365,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,10,0.0012802458071949814,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,365,675,None,None,365,52740,365,52941,365,53139,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,481,0.06157982332607861,2342,178,0.07600341588385995,80.13274786516853,25.54996319963323,26.70928,43.902192,58.040839999999996,81.75296,99.21031999999998,112.52838399999999,137.66224,
-87.632,41.8915,365,675,None,None,365,53140,365,53341,365,53539,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,257,0.03290231724491102,2342,194,0.08283518360375747,43.7141406185567,25.064954186816703,2.90976,17.361072,22.81752,31.983759999999997,67.59736,80.699984,100.54544,
-87.632,41.8915,492,675,302,174270,492,66686,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,4,0.0005120983228779926,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,492,675,967,174270,492,52941,492,53139,492,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,48,0.006145179874535911,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,492,675,967,174270,492,53139,492,52941,492,52740,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,99,0.012674433491230316,2342,99,0.042271562766865924,84.67963797979797,28.66323378774096,5.23776,47.517056000000004,71.26624,89.9176,101.0396,117.443328,141.73984,
-87.632,41.8915,492,675,967,174270,492,66686,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,493,0.06311611829471259,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,492,675,None,None,492,66686,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,684,0.08756881321213673,2342,10,0.004269854824935952,28.988384000000003,10.458466503195579,14.6496,14.6496,18.239199999999997,30.0852,38.202799999999996,40.00539199999999,43.845439999999996,
-87.632,41.8915,492,66686,967,174270,492,52941,492,52740,492,53139,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,2,0.0002560491614389963,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,492,66686,967,174270,492,675,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,7811,188,0.02406862117526565,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.8915,492,66686,None,None,492,675,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,7811,10,0.0012802458071949814,2342,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,12,675,967,174270,12,9820,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,37,0.005399095286735736,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,12,5110,None,None,12,675,12,66686,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,391,0.05705530424631548,1591,391,0.245757385292269,8.674526854219948,21.07928865718628,0.11567999999999999,0.46271999999999996,0.80976,1.61952,3.6391999999999998,22.966559999999998,128.9424,
-87.632,41.892,12,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,48,0.007004231723332847,1591,48,0.03016970458830924,14.61239,5.722666532019841,5.857599999999999,8.259056,9.19608,13.93232,18.09388,22.661952,29.183519999999998,
-87.632,41.892,12,66686,967,174270,12,1025,12,67086,12,675,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,96,0.014008463446665695,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,12,66686,None,None,12,675,12,5330,12,67086,None,None,None,None,None,None,LTE,0,0,0,0,5,6853,18,0.0026265868962498176,1591,0,0.0,0,0,0,0,0,0,0,0,0,
-87.632,41.892,12,67086,846,174270,12,66686,12,675,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,5,6853,44,0.006420545746388443,1591,0,0.0,0,0,0,0,0,0,0,0,0,
