pcell,freq,thres_b1,thres_a2,count
850-188,2259995_S,-112.0,-96.0,1
850-302,2259995_S,-110.0,-96.0,1
850-474,2259995_S,-110.0,-96.0,1
850-208,2259995_S,-112.0,-96.0,1
850-177,2268325_S,-112.0,-96.0,1
850-391,2259995_S,-110.0,-96.0,1
850-449,2259995_S,-110.0,-96.0,1
850-256,2259995_S,-110.0,-96.0,1
850-73,2259995_S,-113.0,-96.0,1
850-343,2259995_S,-110.0,-96.0,1
850-333,2259995_S,-112.0,-96.0,1
850-344,2259995_S,-110.0,-96.0,1
850-181,2259995_S,-110.0,-96.0,1
850-288,2259995_S,-110.0,-96.0,1
850-227,2259995_S,-110.0,-96.0,1
850-27,2264993_S,-115.0,-96.0,1
850-27,2264993_S,-115.0,-113.0,1
850-461,2259995_S,-113.0,-96.0,1
850-158,2259995_S,-113.0,-96.0,1
66486-261,2266659_S,-115.0,-113.0,1
66486-261,2266659_S,-115.0,-96.0,1
950-222,2259995_S,-110.0,-96.0,1
66486-222,2259995_S,-110.0,-96.0,1
850-483,2259995_S,-113.0,-96.0,1
850-258,2259995_S,-110.0,-96.0,1
850-410,2259995_S,-113.0,-96.0,1
850-49,2259995_S,-112.0,-96.0,1
850-183,2259995_S,-110.0,-96.0,1
850-149,2259995_S,-113.0,-96.0,1
850-383,2259995_S,-110.0,-96.0,1
850-202,2259995_S,-115.0,-96.0,1
850-202,2259995_S,-115.0,-113.0,1
850-416,2259995_S,-110.0,-96.0,1
850-437,2259995_S,-113.0,-96.0,1
850-270,2263327_S,-112.0,-96.0,1
850-272,2259995_S,-110.0,-96.0,1
850-50,2259995_S,-115.0,-113.0,1
850-389,2259995_S,-110.0,-96.0,1
850-163,2259995_S,-113.0,-96.0,1
850-402,2259995_S,-113.0,-96.0,1
850-426,2268325_S,-115.0,-96.0,1
850-426,2268325_S,-115.0,-113.0,1
850-415,2259995_S,-110.0,-96.0,1
850-56,2259995_S,-110.0,-96.0,1
850-330,2259995_S,-110.0,-96.0,1
5110-21,2259995_S,-112.0,-96.0,1
850-179,2259995_S,-110.0,-96.0,1
850-267,2259995_S,-113.0,-96.0,1
850-83,2259995_S,-113.0,-96.0,1
850-199,2259995_S,-110.0,-96.0,1
850-311,2259995_S,-112.0,-96.0,1
850-387,2259995_S,-110.0,-96.0,1
850-237,2259995_S,-112.0,-96.0,1
850-411,2259995_S,-110.0,-96.0,1
850-169,2259995_S,-110.0,-96.0,1
850-269,2259995_S,-110.0,-96.0,1
850-65,2259995_S,-110.0,-96.0,1
850-6,2259995_S,-115.0,-113.0,1
850-6,2259995_S,-115.0,-96.0,1
850-53,2259995_S,-112.0,-96.0,1
850-284,2259995_S,-110.0,-96.0,1
850-278,2259995_S,-110.0,-96.0,1
850-399,2259995_S,-113.0,-96.0,1
850-286,2259995_S,-112.0,-96.0,1
850-23,174300_S,-140.0,-115.0,1
850-346,2259995_S,-110.0,-96.0,1
850-190,2263327_S,-112.0,-96.0,1
850-182,2259995_S,-112.0,-96.0,1
850-55,2259995_S,-110.0,-96.0,1
850-232,2259995_S,-110.0,-96.0,1
850-428,2259995_S,-113.0,-96.0,1
850-382,2259995_S,-110.0,-96.0,1
850-295,2259995_S,-113.0,-96.0,1
850-325,2259995_S,-115.0,-96.0,1
850-325,2259995_S,-115.0,-113.0,1
850-497,2259995_S,-113.0,-96.0,1
850-413,2259995_S,-112.0,-96.0,1
5110-477,2259995_S,-115.0,-113.0,1
5110-430,2259995_S,-112.0,-96.0,1
