operator,pcell,freq
310410,2000-222,9820_S
310410,2000-23,850_S
310410,1150-411,2000_S
310410,5145-358,1150_S
310410,5145-358,1150_S
310410,5145-358,1150_S
310410,2000-40,9820_S
310410,5145-437,1150_S
310410,850-153,9820_S
310410,2200-261,1025_S
310410,5145-253,2175_S
310410,5145-253,2000_S
310410,675-394,2200_S
310410,850-393,9820_S
310410,850-175,2000_S
310410,850-400,2000_S
310410,850-453,2000_S
310410,1150-412,2425_S
310410,1150-412,2000_S
310410,850-51,2000_S
310410,850-51,2000_S
310410,2000-70,850_S
310410,5145-338,2175_S
310410,5145-338,2000_S
310410,850-34,2000_S
310410,5145-421,850_S
310410,5145-421,1150_S
310410,5145-421,850_S
310410,675-392,9820_S
310260,5035-106,65535_S
310260,5035-106,2250_S
310260,5035-106,2250_S
310260,5035-106,65535_S
310260,5035-107,65535_S
310260,5035-107,2250_S
310260,976-150,2250_S
310260,976-150,2250_S
