grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.1665,39.767,151,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,1349,181,0.134173461823573,221,181,0.8190045248868778,15.713250386740333,6.297708774035342,0.96,8.0192,10.97344,15.339519999999998,20.877439999999996,24.08256,30.612479999999998,
-86.1665,39.767,151,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1349,252,0.18680504077094143,221,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.767,151,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,1349,24,0.017790956263899184,221,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.767,152,66736,201,519630,47,677,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1349,40,0.029651593773165306,221,40,0.18099547511312217,43.726592,11.640303953540732,19.33568,25.707136,32.96384,46.94144,52.15392,57.762432000000004,61.38496,
-86.1665,39.767,152,66736,201,519630,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1349,796,0.5900667160859896,221,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.767,152,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,2,1349,46,0.0340993328391401,221,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.767,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,2,1349,10,0.007412898443291327,221,0,0.0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7675,151,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,1,222,89,0.4009009009009009,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7675,151,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,1,222,9,0.04054054054054054,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7675,152,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,1,222,86,0.38738738738738737,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.7675,152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,0,0,0,0,1,222,38,0.17117117117117117,0,0,0,0,0,0,0,0,0,0,0,0,
-86.1665,39.768,151,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,0,1,219,28,0.1278538812785388,0,0,0,0,0,0,0,0,0,0,0,0,
